prompt_metadata,model_metadata,domain,task_type,num_samples,number_of_instances,all_valid,any_valid,all_valid_accuracy,any_valid_accuracy,pass_at_1
pddl-cot,gemini-2.5-flash-thinking-65kt,blocksworld,TYPE.OUTOFDISTRIBUTION,1,20,17,17,0.85,0.85,0.85
pddl-cot,gemini-2.5-flash-thinking-65kt,childsnack,TYPE.OUTOFDISTRIBUTION,1,20,6,6,0.3,0.3,0.3
pddl-cot,gemini-2.5-flash-thinking-65kt,depots,TYPE.OUTOFDISTRIBUTION,1,20,20,20,1.0,1.0,1.0
pddl-cot,gemini-2.5-flash-thinking-65kt,driverlog,TYPE.OUTOFDISTRIBUTION,1,20,6,6,0.3,0.3,0.3
pddl-cot,gemini-2.5-flash-thinking-65kt,grippers,TYPE.OUTOFDISTRIBUTION,1,20,14,14,0.7,0.7,0.7
pddl-cot,gemini-2.5-flash-thinking-65kt,logistics,TYPE.OUTOFDISTRIBUTION,1,20,10,10,0.5,0.5,0.5
pddl-cot,gemini-2.5-flash-thinking-65kt,satellite,TYPE.OUTOFDISTRIBUTION,1,20,11,11,0.55,0.55,0.55
landmarks-cot,gemma-3-27b-it-8kt,barman,TYPE.OUTOFDISTRIBUTION,1,20,0,0,0.0,0.0,0.0
landmarks-cot,gemma-3-27b-it-8kt,blocksworld,TYPE.OUTOFDISTRIBUTION,1,20,0,0,0.0,0.0,0.0
landmarks-cot,gemma-3-27b-it-8kt,childsnack,TYPE.OUTOFDISTRIBUTION,1,5,0,0,0.0,0.0,0.0
landmarks-cot,gemma-3-27b-it-8kt,depots,TYPE.OUTOFDISTRIBUTION,1,20,0,0,0.0,0.0,0.0
landmarks-cot,gemma-3-27b-it-8kt,driverlog,TYPE.OUTOFDISTRIBUTION,1,20,0,0,0.0,0.0,0.0
landmarks-cot,gemma-3-27b-it-8kt,grippers,TYPE.OUTOFDISTRIBUTION,1,20,4,4,0.2,0.2,0.2
landmarks-cot,gemma-3-27b-it-8kt,logistics,TYPE.OUTOFDISTRIBUTION,1,20,0,0,0.0,0.0,0.0
landmarks-cot,gemma-3-27b-it-8kt,satellite,TYPE.OUTOFDISTRIBUTION,1,18,1,1,0.06,0.06,0.05555555555555555
landmarks-cot,gemini-2.5-flash-65kt,barman,TYPE.OUTOFDISTRIBUTION,1,20,2,2,0.1,0.1,0.1
landmarks-cot,gemini-2.5-flash-65kt,blocksworld,TYPE.OUTOFDISTRIBUTION,1,20,13,13,0.65,0.65,0.65
landmarks-cot,gemini-2.5-flash-65kt,childsnack,TYPE.OUTOFDISTRIBUTION,1,5,0,0,0.0,0.0,0.0
landmarks-cot,gemini-2.5-flash-65kt,depots,TYPE.OUTOFDISTRIBUTION,1,20,11,11,0.55,0.55,0.55
landmarks-cot,gemini-2.5-flash-65kt,driverlog,TYPE.OUTOFDISTRIBUTION,1,20,1,1,0.05,0.05,0.05
landmarks-cot,gemini-2.5-flash-65kt,grippers,TYPE.OUTOFDISTRIBUTION,1,20,14,14,0.7,0.7,0.7
landmarks-cot,gemini-2.5-flash-65kt,logistics,TYPE.OUTOFDISTRIBUTION,1,20,6,6,0.3,0.3,0.3
landmarks-cot,gemini-2.5-flash-65kt,satellite,TYPE.OUTOFDISTRIBUTION,1,18,10,10,0.56,0.56,0.5555555555555556
landmarks-cot,gemini-2.5-flash-thinking-65kt,barman,TYPE.OUTOFDISTRIBUTION,1,20,3,3,0.15,0.15,0.15
landmarks-cot,gemini-2.5-flash-thinking-65kt,blocksworld,TYPE.OUTOFDISTRIBUTION,1,20,16,16,0.8,0.8,0.8
landmarks-cot,gemini-2.5-flash-thinking-65kt,childsnack,TYPE.OUTOFDISTRIBUTION,1,5,1,1,0.2,0.2,0.2
landmarks-cot,gemini-2.5-flash-thinking-65kt,depots,TYPE.OUTOFDISTRIBUTION,1,20,16,16,0.8,0.8,0.8
landmarks-cot,gemini-2.5-flash-thinking-65kt,driverlog,TYPE.OUTOFDISTRIBUTION,1,20,8,8,0.4,0.4,0.4
landmarks-cot,gemini-2.5-flash-thinking-65kt,grippers,TYPE.OUTOFDISTRIBUTION,1,20,13,13,0.65,0.65,0.65
landmarks-cot,gemini-2.5-flash-thinking-65kt,logistics,TYPE.OUTOFDISTRIBUTION,1,20,15,15,0.75,0.75,0.75
landmarks-cot,gemini-2.5-flash-thinking-65kt,satellite,TYPE.OUTOFDISTRIBUTION,1,18,11,11,0.61,0.61,0.6111111111111112
landmarks,gemma-3-27b-it-8kt,barman,TYPE.OUTOFDISTRIBUTION,1,20,0,0,0.0,0.0,0.0
landmarks,gemma-3-27b-it-8kt,blocksworld,TYPE.OUTOFDISTRIBUTION,1,20,0,0,0.0,0.0,0.0
landmarks,gemma-3-27b-it-8kt,childsnack,TYPE.OUTOFDISTRIBUTION,1,5,0,0,0.0,0.0,0.0
landmarks,gemma-3-27b-it-8kt,depots,TYPE.OUTOFDISTRIBUTION,1,20,0,0,0.0,0.0,0.0
landmarks,gemma-3-27b-it-8kt,driverlog,TYPE.OUTOFDISTRIBUTION,1,20,0,0,0.0,0.0,0.0
landmarks,gemma-3-27b-it-8kt,grippers,TYPE.OUTOFDISTRIBUTION,1,20,3,3,0.15,0.15,0.15
landmarks,gemma-3-27b-it-8kt,logistics,TYPE.OUTOFDISTRIBUTION,1,20,0,0,0.0,0.0,0.0
landmarks,gemma-3-27b-it-8kt,satellite,TYPE.OUTOFDISTRIBUTION,1,18,0,0,0.0,0.0,0.0
landmarks,gemini-2.5-flash-16kt,barman,TYPE.OUTOFDISTRIBUTION,1,20,0,0,0.0,0.0,0.0
landmarks,gemini-2.5-flash-16kt,blocksworld,TYPE.OUTOFDISTRIBUTION,1,20,2,2,0.1,0.1,0.1
landmarks,gemini-2.5-flash-16kt,childsnack,TYPE.OUTOFDISTRIBUTION,1,5,0,0,0.0,0.0,0.0
landmarks,gemini-2.5-flash-16kt,depots,TYPE.OUTOFDISTRIBUTION,1,20,0,0,0.0,0.0,0.0
landmarks,gemini-2.5-flash-16kt,driverlog,TYPE.OUTOFDISTRIBUTION,1,20,0,0,0.0,0.0,0.0
landmarks,gemini-2.5-flash-16kt,grippers,TYPE.OUTOFDISTRIBUTION,1,20,0,0,0.0,0.0,0.0
landmarks,gemini-2.5-flash-16kt,logistics,TYPE.OUTOFDISTRIBUTION,1,20,0,0,0.0,0.0,0.0
landmarks,gemini-2.5-flash-16kt,satellite,TYPE.OUTOFDISTRIBUTION,1,18,0,0,0.0,0.0,0.0
landmarks,gemini-2.5-flash-thinking-16kt,barman,TYPE.OUTOFDISTRIBUTION,1,20,6,6,0.3,0.3,0.3
landmarks,gemini-2.5-flash-thinking-16kt,blocksworld,TYPE.OUTOFDISTRIBUTION,1,20,19,19,0.95,0.95,0.95
landmarks,gemini-2.5-flash-thinking-16kt,childsnack,TYPE.OUTOFDISTRIBUTION,1,5,4,4,0.8,0.8,0.8
landmarks,gemini-2.5-flash-thinking-16kt,depots,TYPE.OUTOFDISTRIBUTION,1,20,19,19,0.95,0.95,0.95
landmarks,gemini-2.5-flash-thinking-16kt,driverlog,TYPE.OUTOFDISTRIBUTION,1,20,16,16,0.8,0.8,0.8
landmarks,gemini-2.5-flash-thinking-16kt,grippers,TYPE.OUTOFDISTRIBUTION,1,20,18,18,0.9,0.9,0.9
landmarks,gemini-2.5-flash-thinking-16kt,logistics,TYPE.OUTOFDISTRIBUTION,1,20,16,16,0.8,0.8,0.8
landmarks,gemini-2.5-flash-thinking-16kt,satellite,TYPE.OUTOFDISTRIBUTION,1,18,14,14,0.78,0.78,0.7777777777777778
